2023-04-15|10:13:25|ergonomic keyboard|Amazon|-89.50
2023-04-15|11:15:00|Invoice 1001 paid|Joe|1500.00
2023-04-16|09:45:10|coffee|Starbucks|-5.75
2023-04-16|14:20:00|website design payment|ClientX|800.00
2023-04-17|08:30:00|office supplies|Staples|-45.20
2023-04-17|16:00:00|consulting income|ABC Corp|1200.00
2023-04-18|12:10:05|lunch meeting|Subway|-12.50
2023-04-18|18:45:30|freelance payment|Upwork|600.00
2023-04-19|07:55:15|gas refill|Shell|-60.00
2023-04-19|13:30:00|product sale|Online Store|250.00
2023-04-20|10:00:00|software subscription|Adobe|-29.99
2023-04-20|15:45:00|bonus payment|Employer|500.00
2026-04-27|15:32:58|wireless headphones|Amazon|300.00
2026-04-27|15:54:29|salary|companyXyz|2500.00
2026-04-27|15:55:08|coffee|starbucks|-5.75
2025-04-27|15:58:15|refund|Amazon|89.50
2026-04-27|15:59:16|internet bill|comcast|-60.00
2026-04-28|12:35:07|Laptop|amazon|200.00
2026-04-28|13:13:44|MONITOR|AMAZON|150.00
2026-03-28|15:31:06|LAPTOP|WALMART|200.00
2026-04-28|16:43:01|DIAPERS|TARGET|30.00
2026-04-28|16:43:47|Laptop|walmart|-100.00
2026-04-28|21:47:38|DOORS|LOWES|100.00
2026-04-28|21:48:03|Windows|Lowes|-150.00
2026-04-28|22:08:32|USB CHARGER|TARGET|30.00
2026-04-29|13:36:53|LAPTOP|AMAZON|200.00
2026-04-29|14:37:32|SALARY|COMPANY XYZ|20000.00
